source	target	weight
C9ORF96	AKT1	0.748688232
MASTL	IRAK4	0.748646187
CSK	YES1	0.748404506
CSK	CDK10	0.748364453
RIOK3	PTK2	0.747997575
GSK3A	YES1	0.746204577
CDK2	CDK10	0.745511438
MAPK9	MET	0.745300153
IRAK2	CAMK2G	0.74525565
ULK3	GRK6	0.745246421
ADRBK1	MERTK	0.745242724
CSNK1G2	SGK3	0.745073693
PRKCZ	DAPK1	0.744424778
PTK2	EGFR	0.744183142
GSK3A	CSK	0.74403102
ATR	AKT1	0.743322309
ERBB3	CHEK1	0.743091496
CSNK1A1L	SNRK	0.743036845
MYLK	MAP3K1	0.74295619
ERBB3	CDK6	0.742853924
CDK16	ULK1	0.742457807
NEK9	HIPK1	0.741577085
JAK1	SGK1	0.741392742
CDK10	MET	0.740345445
MAP2K4	PKN1	0.739702023
CAMK2D	SNRK	0.739504812
ERBB3	EPHA6	0.738887434
MYLK2	TRRAP	0.7385358
MAST4	PRKCQ	0.738289767
EIF2AK3	MST1R	0.738258193
ERBB3	TGFBR2	0.738251593
PLK4	STRADB	0.737715267
ERBB3	CHEK2	0.737425899
ULK1	DAPK1	0.737008056
RPS6KB2	TRIO	0.736676009
AXL	RPS6KB2	0.736110369
STRADB	NRBP2	0.735705316
CSNK1E	CAMK2G	0.735590016
PRKX	RIPK4	0.735571734
MAP3K5	EPHA3	0.735422444
CDK16	PAK3	0.735260497
RPS6KA1	ULK2	0.735250071
ADRBK1	CSNK1G3	0.734982989
VRK3	LCK	0.734951062
ULK2	PTK7	0.734885858
SRPK1	SIK3	0.734536948
CSK	MTOR	0.734506195
PAK2	PRKX	0.734414621
STK16	PAK2	0.733980477
ERBB3	CAMK1	0.733793638
TYRO3	RIPK1	0.733766301
HIPK1	PRKCQ	0.733547289
ERBB3	INSR	0.73269334
AKT2	MET	0.732574881
RPS6KA1	PRKX	0.732465952
MAST4	PRKCB	0.731912732
AXL	PIM3	0.731885186
MYLK2	ULK1	0.731528162
RPS6KA1	PAK2	0.731358267
MYLK2	CDK16	0.731028941
ERBB3	ATM	0.730973578
NEK6	CSNK1G3	0.730952569
SIK3	ACVR1	0.730875632
TRRAP	GRK5	0.730632226
PLK4	NRBP2	0.729914703
ERBB3	ERBB4	0.728863419
HIPK1	SIK3	0.72820953
PAK2	PTK7	0.728096503
MAPK13	C9ORF96	0.727520552
RIPK1	RIPK3	0.727348011
CDK16	GRK5	0.727064334
MAP3K8	PAK2	0.726808613
MERTK	CIT	0.726774878
SIK3	PRKCQ	0.726733011
RIOK3	EGFR	0.726692085
STK16	PRKX	0.726656052
MYLK2	DAPK1	0.725814092
PRKD2	PIM2	0.725454049
DDR1	RPS6KA3	0.725419044
CAMK2G	PRKAA2	0.725408044
ROCK1	SGK1	0.724826471
STK36	FES	0.724736018
PAK3	GRK5	0.724313478
FLT3	GSK3B	0.723906645
CSK	MET	0.723394626
ERBB3	AKT2	0.723043872
PAK2	ULK2	0.723041973
PRKCZ	GRK5	0.723025264
DAPK1	PRKAA1	0.722488199
ERBB3	CDK10	0.722016586
CSNK1G3	KDR	0.721925154
ERBB3	YES1	0.721704137
GRK5	PRKAA1	0.721602677
BRAF	AURKA	0.721544887
HIPK1	PRKCB	0.721093389
STRADB	RPS6KA2	0.721010801
GSK3A	MET	0.721010355
EPHB2	MASTL	0.720109857
RET	CDK4	0.720104294
ERBB3	MTOR	0.719968511
MAP3K8	STK16	0.719598353
SRPK1	PRKCQ	0.719330821
SRPK1	NEK9	0.718830939
SRPK1	HIPK1	0.718585806
CDK16	DAPK1	0.718449937
PRKCQ	PRKCB	0.718114535
STK16	ULK2	0.718025915
ERBB3	MAPK9	0.717698606
ACVR1	PRKCB	0.717659938
RPS6KA1	PTK7	0.717531304
NEK6	CIT	0.717390305
ADRBK1	NEK6	0.716414253
EIF2AK3	PTK2	0.716098607
RIPK3	MAPK12	0.715626014
MELK	RIOK3	0.714789989
MST1R	PTK2	0.714371473
MAP2K4	CDK9	0.714318991
PDPK1	RPS6KA3	0.713182776
RIPK4	ULK2	0.712889603
ERBB3	STK33	0.71280608
CDKL4	MAP3K5	0.712651184
CAMK2D	MKNK1	0.711388338
PDK1	CDKL4	0.710861868
LCK	AKT1	0.709917259
ADRBK1	CIT	0.708612
ERBB3	MET	0.7085327
CLK1	TYRO3	0.708317758
STK33	BRAF	0.707576427
STK33	AURKA	0.707109701
TYRO3	RIPK3	0.706932465
MAPK13	ATR	0.706550816
STK16	RIPK4	0.706397628
MAP2K6	PXK	0.706199926
PAK2	RIPK4	0.705513434
FLT1	RET	0.705349507
FES	MYLK	0.70516153
ERBB3	CDK2	0.705038232
PDK1	EPHA3	0.704859883
MELK	EIF2AK3	0.704543927
PRKX	ULK2	0.704361174
PDPK1	SGK1	0.704360145
TNIK	FER	0.703633339
MAPK14	GSK3B	0.703583967
BCKDK	KSR2	0.703131129
DDR1	SGK1	0.702280499
CSNK1E	PRKAA2	0.702141645
PRKCE	MAST4	0.702064692
SRPK1	ACVR1	0.701277962
PHKG2	SGK1	0.700860642
FLT4	CDK9	0.700577364
MST1R	EGFR	0.700334468
CDKL4	EPHA3	0.700089517
SYK	PRKCZ	0.699823786
BTK	MAP3K5	0.699138956
MASTL	BCKDK	0.697412662
PDK2	IRAK2	0.695354935
HIPK1	ACVR1	0.69526887
PAK1	CSNK1E	0.695000061
CDK16	PRKAA1	0.694285491
ERBB3	AURKA	0.69412969
MAP2K6	ULK3	0.693513591
CDK8	STK36	0.693288237
AXL	TRIO	0.692541791
MAP3K8	ULK2	0.692345443
RIPK3	MAP2K3	0.692092747
VRK3	AKT1	0.691759162
TYRO3	MAPK12	0.691503347
LYN	RET	0.691028209
PTK2B	RPS6KA5	0.690858632
MASTL	KSR2	0.690617852
SIK3	PRKCB	0.69061335
FLT4	PKN1	0.690521964
SYK	ULK1	0.690378732
PRKD2	TP53RK	0.690260378
NEK6	KDR	0.690244424
RPS6KA1	CAMKK2	0.690032759
PLK4	RPS6KA2	0.689860238
RPS6KA1	RIPK4	0.689828245
PRKCZ	PRKAA1	0.689366599
NEK9	SIK3	0.688381578
MAPK13	LCK	0.688316799
ERBB3	CSK	0.68800419
ULK2	CAMKK2	0.687766695
TRRAP	PRKAA1	0.68769614
TNIK	MKNK2	0.687544659
SYK	TRRAP	0.68754351
SYK	MYLK2	0.687404496
FGFR2	EPHB2	0.687017553
CIT	KDR	0.68694794
PTK7	CAMKK2	0.686846459
RIPK1	MAPK12	0.686101923
MAP2K6	GRK6	0.685926905
EIF2AK3	EGFR	0.685734257
STK36	MYLK	0.685642151
MERTK	KDR	0.685337548
SYK	CDK16	0.685317894
RPS6KA3	SGK1	0.684106613
ULK1	PRKAA1	0.683212721
CSNK1G2	GSK3B	0.682453143
RIPK4	PTK7	0.682381069
SRPK1	PRKCB	0.681959561
MAP3K8	PRKX	0.681933822
PXK	GRK6	0.681879019
PAK2	CAMKK2	0.681495808
CLK1	RIPK1	0.681432298
MAPK13	VRK3	0.680850562
PRKD2	RPS6KA5	0.680779504
MYLK2	GRK5	0.680657959
IRAK2	PRKAA2	0.680538661
EPHB2	IRAK4	0.68038001
PRKCD	MERTK	0.680320554
PRKX	PTK7	0.679859872
MAP3K8	RIPK4	0.679784822
TYRO3	MAP2K3	0.679086819
CDK8	FES	0.679075917
IRAK4	BCKDK	0.678845165
PTK2B	PIM2	0.677988011
MELK	MST1R	0.677949331
MAP3K8	CAMKK2	0.677845144
CLK1	RIPK3	0.677221634
EPHB2	KSR2	0.676832682
CSNK1E	MAP2K1	0.676303973
CSNK1A1L	MKNK1	0.6756935
PRKCE	SRPK1	0.675586931
PRKACA	MAP2K4	0.674318602
RIPK4	CAMKK2	0.673450256
ULK1	GRK5	0.673372267
CAMK2G	MAP2K1	0.673333568
PRKX	CAMKK2	0.672502312
FLT1	STRADB	0.672283595
MAP3K8	PTK7	0.672014497
MELK	PTK2	0.671946431
PTK2B	TP53RK	0.671117484
ABL1	TNIK	0.670798594
NEK9	PRKCB	0.668608113
RPS6KA5	KIT	0.668320919
NRBP1	NEK7	0.66823869
PRKACA	FLT4	0.667847664
STK16	CAMKK2	0.667836742
PRKCD	ADRBK1	0.667651255
AURKA	AURKB	0.667618458
PAK3	PRKAA1	0.667409751
ERBB3	BRAF	0.667354432
ADRBK1	KDR	0.666898872
PDK2	CAMK2G	0.66677791
PTK2B	PRKD2	0.6666851
RPS6KA2	CDK4	0.66661828
SRC	TESK1	0.664881546
SYK	PAK3	0.664454732
STRADB	CDK4	0.664271656
FER	MKNK2	0.66415118
PDK2	PRKAA2	0.663697432
CLK1	MAPK12	0.663266754
FLT1	PLK4	0.662030925
STK33	AURKB	0.661629229
TAOK3	ABL2	0.660965923
IKBKB	CSNK1E	0.659694229
SRC	VRK1	0.659601635
BRAF	AURKB	0.658984975
LYN	STRADB	0.65885542
PRKCE	SIK3	0.65867249
PRKCE	PRKCB	0.658580665
NEK9	PRKCQ	0.658312359
FGFR2	MASTL	0.658182045
MAPK13	AKT1	0.658147667
SNRK	CSNK2A2	0.657627898
PRKAA2	MAP2K1	0.657618432
PRKCE	HIPK1	0.657527772
RAF1	SNRK	0.656868267
FLT1	RPS6KA2	0.65678547
IRAK4	KSR2	0.656684788
GSK3A	STK33	0.656475969
STK36	MAP3K1	0.656423307
NEK7	CLK4	0.65599346
FES	MAPK8	0.655541672
STK16	PTK7	0.655395709
LYN	CDK4	0.654868486
CSNK1E	ERBB2	0.654527335
STK33	ZAK	0.65383428
IRAK2	MAP2K1	0.65323506
EPHB2	BCKDK	0.653030492
TBK1	AURKA	0.652381845
MAPK12	MAP2K3	0.651929186
PDK1	MAP3K5	0.651735693
ULK3	IKBKE	0.65167095
TBK1	STK33	0.651243237
MYLK2	PRKAA1	0.651122941
PAK1	PRKAA2	0.650818492
TP53RK	KIT	0.649949312
PIM2	KIT	0.649245289
STK33	RPS6KL1	0.649152989
RAF1	CSNK1A1L	0.64914171
STK33	EPHB4	0.648975026
ERBB3	RPS6KL1	0.648728991
PAK1	PDK2	0.648558075
SYK	PRKAA1	0.648400886
PKN1	CDK9	0.647148049
RIPK1	MAP2K3	0.646293255
PAK1	IRAK2	0.645640147
PLK4	CDK4	0.645455556
PRKCE	NEK9	0.645448496
MKNK1	CSNK2A2	0.645351187
PRKCD	NEK6	0.645287036
RYK	FGFR1	0.645268189
CLK1	MAP2K3	0.645135626
FGFR2	IRAK4	0.643771013
FLT1	CDK4	0.643694207
CDK5	ABL2	0.643100473
BMPR1A	TTK	0.642523828
ERBB3	AURKB	0.641878969
SCYL3	DYRK3	0.641860721
MET	DDR1	0.641527188
PAK1	CAMK2G	0.641152896
STK36	MAPK8	0.640698814
GSK3A	RPS6KL1	0.640535406
EPHA3	PDGFRA	0.639450358
PAK1	MAP2K1	0.638745905
LYN	PLK4	0.638700854
MET	JAK1	0.637195861
ABL2	BUB1B	0.63717449
BCR	SRC	0.63709697
NEK9	ACVR1	0.636859073
PRKD2	KIT	0.636656452
EPHB2	PDGFRB	0.635968375
MELK	EGFR	0.635679834
EGFR	ABL1	0.635619041
GSK3A	AURKA	0.635614864
CDK8	MYLK	0.634721688
GRK6	IKBKE	0.634624947
PTK2	SRC	0.634156278
PBK	EIF2AK2	0.633969168
NEK7	NUAK1	0.633959696
PIM1	PIK3R4	0.63378672
PRKCE	ACVR1	0.633529463
PTK2	ABL1	0.632943164
LYN	RPS6KA2	0.632513281
RPS6KA4	STK33	0.632503907
DYRK3	MAPKAPK5	0.63244471
NEK7	BRD4	0.632410364
RPS6KA4	BRAF	0.632326488
RAF1	CAMK2D	0.632116831
PKN2	TAOK3	0.631996653
AURKA	EPHB4	0.631816322
FGFR2	PDGFRB	0.631531457
STK3	WEE1	0.631157148
TESK1	VRK1	0.63088383
IKBKB	IRAK2	0.630802622
FLT1	NRBP2	0.630276775
EIF2AK2	NRBP1	0.629912508
PRKCD	KDR	0.629680105
PKN2	ABL2	0.629677162
PRKACB	MAP3K14	0.629406209
BMPR1A	PIK3R4	0.629342506
PRKAA2	ERBB2	0.629225288
PRKCD	CIT	0.629077634
TTK	PIM1	0.628921263
ABL1	FER	0.628812895
PAK1	ERBB2	0.628448518
SRC	RAF1	0.628439718
BMPR1A	PIM1	0.628314795
NRBP1	NUAK1	0.62828231
AURKA	RPS6KL1	0.628175572
AURKA	ZAK	0.628139361
STK39	TEK	0.628020935
EIF2AK3	SRC	0.627670122
NRBP1	CLK4	0.627657383
AKT1	TAOK3	0.62675107
GSK3A	BRAF	0.62658283
CLK4	NUAK1	0.626358802
PTK2	AURKA	0.625624306
NTRK3	STK39	0.625521957
LYN	FLT1	0.625515168
CSNK1A1	PRKACB	0.625511917
BTK	PDGFRA	0.625393246
MET	PDPK1	0.624678899
BRAF	MKNK1	0.624019221
NTRK1	BMPR1A	0.623792486
EIF2AK3	NEK7	0.623644952
KSR2	PDGFRB	0.623554432
EGFR	AURKA	0.623441666
SYK	DAPK1	0.623437651
LYN	NRBP2	0.623180793
YES1	JAK1	0.62305425
SRC	LIMK2	0.622948526
VRK2	ABL2	0.62294844
RIOK2	STK39	0.622909736
AKT1	VRK2	0.622893566
VRK2	TAOK3	0.622749075
PRPF4B	BCR	0.622662785
MYLK	MAPK8	0.621995215
YES1	DDR1	0.621826302
RIOK2	NTRK3	0.621651912
CSNK1A1	AURKA	0.621332342
CDK5	VRK2	0.621232296
PDK1	PDGFRA	0.621019558
EIF2AK2	NEK7	0.620977234
TTK	PIK3R4	0.620507045
NTRK1	TTK	0.62046828
PRKCE	PRKCQ	0.620239844
PIK3R4	SLK	0.620183557
ERBB3	RPS6KA4	0.620118409
TTK	SLK	0.619982028
BMPR1A	SLK	0.619846996
FES	MAP3K1	0.619151456
PRKDC	VRK2	0.618663028
NEK7	RAF1	0.618642718
BRD4	BRD3	0.618596718
MASTL	PDGFRB	0.618546967
EIF2AK3	IRAK1	0.618537074
MAP2K2	PRKCA	0.618276936
AURKB	ZAK	0.618203549
BRAF	RPS6KL1	0.617881979
PRKCD	STK39	0.617847539
PDK2	ERBB2	0.617810449
BRD4	HSPB8	0.617573047
PIK3R4	AURKA	0.617420485
CAMK2D	CSNK2A2	0.61738981
PLK2	ABL2	0.617388587
GSK3A	AURKB	0.6168416
DYRK3	ADCK3	0.616779974
CDK8	MAPK8	0.616612405
TBK1	NRBP1	0.616391606
AURKB	RPS6KL1	0.616335948
NEK7	CLK3	0.615965856
PLK2	CDK5	0.615903079
AKT1	ABL2	0.615806659
FGFR2	KSR2	0.615757049
DYRK3	STK33	0.615680381
MYLK	ILK	0.615584506
AURKA	NEK7	0.615556545
PRKACA	PRKACB	0.615353771
IKBKB	PAK1	0.614908696
MET	PHKG2	0.614841872
MET	ROCK1	0.614781681
ARAF	MAP2K2	0.614769037
TBK1	BRAF	0.614635157
RAF1	MKNK1	0.614406498
SRC	CLK3	0.61439687
BRAF	ZAK	0.614238945
MAPKAPK2	STK3	0.614220848
MAP2K6	IKBKE	0.613887083
CLK3	BRD3	0.613739583
TBK1	NEK7	0.613604749
RPS6KA4	AURKA	0.613491825
PXK	IKBKE	0.613413838
IRAK1	CLK3	0.613081745
ERBB3	TBK1	0.612847234
MET	SGK1	0.612787445
KDR	PIK3R4	0.612751409
FGFR1	ROS1	0.612738775
ROCK2	JAK2	0.612570984
IKBKB	PDK2	0.612418591
PRKDC	PLK2	0.612237625
EIF2AK3	RAF1	0.612157834
CLK3	BRD4	0.612128239
SYK	GRK5	0.611820077
EIF2AK3	BRAF	0.611804754
EIF2AK2	CLK3	0.611666875
KDR	PIM1	0.611651326
IRAK2	ERBB2	0.611650685
MAP3K14	AURKA	0.61157978
NEK7	IRAK1	0.611499917
RPS6KA4	TBK1	0.611358768
BRAF	CAMK2D	0.611238779
STK33	LYN	0.611221758
TEK	LYN	0.611209237
DYRK3	PTK2	0.61107937
ABL1	MKNK2	0.611067744
RAF1	CSNK2A2	0.611059182
YES1	PHKG2	0.610989811
NUAK1	IRAK1	0.610809289
MAP2K1	ERBB2	0.610779914
NRBP2	CDK4	0.610637948
TBK1	CLK3	0.610579143
PIM1	SRC	0.610520966
PRKACA	MAPKAPK3	0.610303471
EIF2AK3	AURKA	0.610274053
DYRK3	FGFR1	0.61027269
MST1R	SRC	0.61022927
BUB1B	STK25	0.610212885
MAP3K14	SRC	0.610054595
PRKACA	CDK9	0.610007161
EGFR	SRC	0.609980866
MAP4K3	MAP2K2	0.609917585
RPS6KA4	AURKB	0.609916705
MAP3K5	PDGFRA	0.609891777
CLK3	RAF1	0.609823374
TBK1	RPS6KL1	0.609735039
YES1	ROCK1	0.609520586
PRKDC	SRC	0.609438508
MAP3K1	MAPK8	0.609355113
CDC7	NEK7	0.609282704
TBK1	EPHB4	0.609211597
TGFBR1	PRKDC	0.608973667
DYRK3	AURKA	0.608804355
STK39	NEK7	0.608757257
FGFR2	STK39	0.608713345
CSNK1A1	ABL1	0.608617241
JAK2	TAOK3	0.608582356
MAP3K14	PRKCI	0.608494403
GSK3B	AURKA	0.608357739
NRBP1	CLK3	0.608349671
FYN	NTRK1	0.608337583
MAP3K14	ABL1	0.608206561
PIM1	SLK	0.608203042
NEK7	BRD3	0.608103576
MAPKAPK5	STK24	0.608084917
CDK8	MAP3K1	0.608004067
DYRK3	EIF2AK3	0.607874624
MET	CSNK1A1	0.607829183
GSK3A	ZAK	0.607665133
VRK1	LIMK2	0.607506012
SCYL3	PTK2	0.607457539
MAP3K4	BRAF	0.607352311
BRD3	CLK2	0.607278077
ROCK2	TAOK3	0.607182406
MAP4K3	CDK1	0.607174063
PRKCD	CSNK1G3	0.606705276
BRAF	SRC	0.606699665
ERBB3	ZAK	0.606648467
MAPKAPK3	DYRK3	0.606509835
PRKDC	CDK5	0.606335926
TEK	MAPKAPK3	0.606272733
MAP2K3	MST1R	0.606268587
BRAF	RAF1	0.606208088
TAOK3	BUB1B	0.606181946
EIF2AK3	STK33	0.606172456
NRBP1	IRAK1	0.606106056
PRPF4B	SRC	0.606101169
EIF2AK1	PBK	0.606044612
CDKL4	PDGFRA	0.605962398
IRAK1	CDK4	0.60595101
BRAF	SNRK	0.605880611
MAPKAPK3	SCYL3	0.605786345
EIF2AK3	LYN	0.60570716
ROCK2	TGFBR1	0.605663308
EPHB4	SRC	0.605596292
STK25	STK33	0.605575012
NEK7	HSPB8	0.605538823
WEE1	CSNK1D	0.605515526
SRC	MAPK8	0.605079328
STK24	STK38L	0.605016009
STK36	ILK	0.604882093
ADCK3	SRC	0.604799835
CDK5	BUB1B	0.604742011
PRKDC	AURKA	0.604634372
MAPKAPK5	PTK2	0.60451165
EIF2AK3	EIF2AK2	0.604389132
CSNK1A1	PTK2	0.604272037
CSNK1A1L	CSNK2A2	0.604170605
GSK3B	STK33	0.603944423
CAMK2G	ERBB2	0.603824191
AKT1	PLK2	0.603815587
IRAK4	PDGFRB	0.603649686
MAPKAPK3	PTK2	0.603586365
TRIB1	STK38	0.603517946
CDK5	TAOK3	0.603475267
RIOK3	SRC	0.603394639
PRKCA	STK3	0.603317371
ABL2	MAP3K14	0.603223755
FGFR2	NTRK3	0.603121057
MAPKAPK5	MAP2K5	0.603104292
STK39	MOK	0.603027857
AURKA	ABL1	0.602952505
MAP3K4	PIM1	0.60294017
TBK1	AURKB	0.602823433
MAP3K7	CSNK1A1	0.602790284
SCYL3	AURKA	0.602724749
MAPK8	ILK	0.602724104
NEK2	MAPKAPK2	0.602615112
ERBB3	EPHB4	0.602584252
FGFR2	TEK	0.602520341
VRK2	PKN2	0.602479985
PTK2B	KIT	0.602451193
STK39	STK33	0.602225839
MAP3K4	FYN	0.602184008
SRC	GAK	0.601849188
FES	ILK	0.601791996
TYRO3	MST1R	0.601676609
EIF2AK2	BRD3	0.601566419
